Date,Price,Commodity,Units,Type,Data Source,Ticker,has_quality_issues
2024-04-26,27.2058,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-04-29,27.1429,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-04-30,26.2942,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-05-01,26.651,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-05-02,26.6828,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-05-03,26.5594,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-05-06,27.4445,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-05-07,27.2419,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-05-08,27.3312,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-05-09,28.3172,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-05-10,28.1834,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-05-13,28.2015,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-05-14,28.6194,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-05-15,29.6739,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-05-16,29.5756,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-05-17,31.493,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-05-20,31.824,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-05-21,31.976,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-05-22,30.7902,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-05-23,30.1337,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-05-24,30.262,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-05-27,31.631,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-05-28,32.1045,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-05-29,31.976,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-05-30,31.1732,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-05-31,30.4083,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-06-03,30.7347,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-06-04,29.4977,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-06-05,30.0118,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-06-06,31.325,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-06-07,29.153,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-06-10,29.745,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-06-11,29.2768,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-06-12,29.726,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-06-13,28.9668,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-06-14,29.5545,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-06-17,29.4651,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-06-18,29.536,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-06-19,29.7887,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-06-20,30.7446,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-06-21,29.5542,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-06-24,29.5806,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-06-25,28.911,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-06-26,28.773,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-06-27,28.9714,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-06-28,29.1429,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-07-01,29.4506,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-07-02,29.527,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-07-03,30.5007,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-07-04,30.3967,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-07-05,31.219,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-07-08,30.7634,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-07-09,30.802,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-07-10,30.8158,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-07-11,31.464,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-07-12,30.7885,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-07-15,30.6769,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-07-16,31.2484,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-07-17,30.3025,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-07-18,29.8329,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-07-19,29.223,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-07-22,29.125,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-07-23,29.244,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-07-24,28.9085,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-07-25,27.8485,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-07-26,27.9258,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-07-29,27.8617,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-07-30,28.3863,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-07-31,29.0065,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-08-01,28.5235,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-08-02,28.5597,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-08-05,27.264,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-08-06,26.9842,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-08-07,26.6095,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-08-08,27.544,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-08-09,27.4592,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-08-12,27.978,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-08-13,27.8528,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-08-14,27.5689,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-08-15,28.3546,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-08-16,28.9793,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-08-19,29.4494,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-08-20,29.438,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-08-21,29.6,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-08-22,28.9855,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-08-23,29.8157,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-08-26,29.9034,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-08-27,29.9757,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-08-28,29.1267,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
2024-08-29,29.4198,Silver (Ag),USD/troy oz,Spot,Bloomberg,XAGUSD BGN Curncy,True
